u_id,tran_id,article_id,position,time_before_click,time_on_page,sequence,non-clickbait,clickbait,age,gender,residence,edu_level,edu_stream,news_source,news_interest,id
iqvqbamanh,fldqrolegkfxsvq,30,0,19940,109073,1,0,1,22,Female,City,PG,MassComm,11010,10001111,iqvqbamanh
iqvqbamanh,ixrtbvgysgrxxwr,20,3,4573,74771,2,0,1,22,Female,City,PG,MassComm,11010,10001111,iqvqbamanh
iqvqbamanh,dubplmzxsqtszng,1,5,8417,33909,3,1,0,22,Female,City,PG,MassComm,11010,10001111,iqvqbamanh
irntchdwnd,cnkhmkwcxidugsz,51,0,41026,258935,1,1,0,21,Male,City,UG,Science,1010,111011,irntchdwnd
irntchdwnd,xoejrkbkpfsgegy,11,2,6106,72779,2,1,0,21,Male,City,UG,Science,1010,111011,irntchdwnd
irntchdwnd,wyiklebikzbpzrk,40,1,7312,90921,3,0,1,21,Male,City,UG,Science,1010,111011,irntchdwnd
jgrhnhofap,jklnoywnfqthbga,1,5,14723,13440,1,1,0,24,Male,City,UG,MassComm,11110,10101110,jgrhnhofap
jgrhnhofap,gpgsgooubionvlr,21,1,30162,28685,2,1,0,24,Male,City,UG,MassComm,11110,10101110,jgrhnhofap
jgrhnhofap,pmtthpaenetsssf,40,2,4149,65834,3,0,1,24,Male,City,UG,MassComm,11110,10101110,jgrhnhofap
jhdvhmzcox,uquketvxmsexvyt,20,2,35261,14011,1,0,1,22,Female,City,PG,MassComm,10110,11100111,jhdvhmzcox
jhdvhmzcox,ukrjwyxsbmnrzqw,20,2,11325,27663,2,0,1,22,Female,City,PG,MassComm,10110,11100111,jhdvhmzcox
jhdvhmzcox,vdqiranayngawnf,30,5,10489,76712,3,0,1,22,Female,City,PG,MassComm,10110,11100111,jhdvhmzcox
jmxsslgzsb,vpabiduqzfttbwc,40,1,9038,4256,1,0,1,23,Male,Village,PG,MassComm,10000,10001011,jmxsslgzsb
jmxsslgzsb,okwuybkqpewwjjf,50,5,3107,2169,2,0,1,23,Male,Village,PG,MassComm,10000,10001011,jmxsslgzsb
jmxsslgzsb,hetalxwsyzfpmju,40,1,811,1623,3,0,1,23,Male,Village,PG,MassComm,10000,10001011,jmxsslgzsb
josickrldy,ubheggvoruwimdi,10,5,23404,67633,1,0,1,22,Female,City,UG,MassComm,1010,11100101,josickrldy
josickrldy,oitxkpfjanvvnqw,31,1,7278,58088,2,1,0,22,Female,City,UG,MassComm,1010,11100101,josickrldy
josickrldy,nuhdspmnqduxulw,20,3,4895,23076,3,0,1,22,Female,City,UG,MassComm,1010,11100101,josickrldy
jtcirquqlh,dvpimqkvjxmnnom,21,1,16094,48176,1,1,0,21,Male,Town,UG,Science,1111,11100011,jtcirquqlh
jtcirquqlh,jogtizxohqalmrl,51,0,2756,56776,2,1,0,21,Male,Town,UG,Science,1111,11100011,jtcirquqlh
jtcirquqlh,kfdkcsgshisydcj,40,3,4123,36157,3,0,1,21,Male,Town,UG,Science,1111,11100011,jtcirquqlh
ktdensgpmu,ytkgjrgtqcthkpy,10,0,9207,58444,1,0,1,21,Female,City,PG,Science,11111,10011,ktdensgpmu
ktdensgpmu,dpjloubxdhvrkat,31,1,21964,16845,2,1,0,21,Female,City,PG,Science,11111,10011,ktdensgpmu
ktdensgpmu,gmimodlennoboav,0,4,8895,7406,3,0,1,21,Female,City,PG,Science,11111,10011,ktdensgpmu
kwqaluxnvc,ndtfficsazshnef,11,2,24305,75180,1,1,0,23,Male,City,UG,Science,1111,11011111,kwqaluxnvc
