tran_id,article_id,position,time_before_click,time_on_page,sequence,non-clickbait,clickbait,age,gender,residence,edu_level,edu_stream,news_source,news_interest,id
ebvwzcyjplupuog,21,1,5122,60950,2,1,0,21,Female,City,PG,MassComm,11101,11001111,mqxbdnjfdx
clurjsacslicqub,50,0,7536,8998,3,0,1,21,Female,City,PG,MassComm,11101,11001111,mqxbdnjfdx
kufkhcqxsyqosiw,41,0,28565,8039,1,1,0,21,Female,City,PG,MassComm,11111,11010111,msddboexac
ydgljvguggpxtid,21,1,8434,10668,2,1,0,21,Female,City,PG,MassComm,11111,11010111,msddboexac
ngaqjqwpigzmgib,10,2,4053,4213,3,0,1,21,Female,City,PG,MassComm,11111,11010111,msddboexac
gapplgryizhngbj,10,0,12821,5597,1,0,1,23,Male,City,PG,MassComm,10101,10111000,mvbugsttuk
eeylqzujuvkdfpl,20,1,3565,3818,2,0,1,23,Male,City,PG,MassComm,10101,10111000,mvbugsttuk
fmpnfaguksgzpus,41,5,5190,4512,3,1,0,23,Male,City,PG,MassComm,10101,10111000,mvbugsttuk
cvvjetqoxgcjztd,41,2,35717,21535,1,1,0,21,Female,City,UG,Science,10,11111111,mwhtkfzhsc
ymwhtszhesuqeuj,11,1,7391,3158,2,1,0,21,Female,City,UG,Science,10,11111111,mwhtkfzhsc
xyydugxvmkxcjgf,0,3,4351,4655,3,0,1,21,Female,City,UG,Science,10,11111111,mwhtkfzhsc
tudlanpwrkhgxfm,20,5,23216,35070,1,0,1,19,Male,City,UG,Science,100,11010001,nbltmambmh
jurgnruzggofpmz,11,1,6476,31050,2,1,0,19,Male,City,UG,Science,100,11010001,nbltmambmh
uqgdkdyorztbgrz,30,3,7525,6814,3,0,1,19,Male,City,UG,Science,100,11010001,nbltmambmh
scqangmtouwkeud,0,0,11717,8607,1,0,1,23,Male,Town,PG,MassComm,11111,10000000,okgpcxzntc
kqkseadjusagcne,10,1,1687,3573,2,0,1,23,Male,Town,PG,MassComm,11111,10000000,okgpcxzntc
edxqndijpklmxxx,51,2,10474,3800,3,1,0,23,Male,Town,PG,MassComm,11111,10000000,okgpcxzntc
slffaxkiesittmn,20,0,24464,32108,1,0,1,23,Female,City,PG,MassComm,1010,1000111,pitkjvomhs
rgxethtrmofevjy,51,3,3813,3413,2,1,0,23,Female,City,PG,MassComm,1010,1000111,pitkjvomhs
dbcpslvtaddloox,30,5,9134,11782,3,0,1,23,Female,City,PG,MassComm,1010,1000111,pitkjvomhs
zfibynxcuibvezo,31,1,10284,4389,1,1,0,23,Male,City,UG,Science,1101,10000011,pjfwmstwaw
pxuwszcbjndrspq,11,4,11493,1733,2,1,0,23,Male,City,UG,Science,1101,10000011,pjfwmstwaw
qoosgdvwammvjhp,40,0,3093,1253,3,0,1,23,Male,City,UG,Science,1101,10000011,pjfwmstwaw
pxucqazozcbcenh,21,2,12097,64357,1,1,0,22,Female,City,PG,MassComm,10000,10000010,qqtllbvyyf
cgmqpwuzxojsicb,41,1,9637,45561,2,1,0,22,Female,City,PG,MassComm,10000,10000010,qqtllbvyyf
quunnpkszhapybe,50,5,20067,58044,3,0,1,22,Female,City,PG,MassComm,10000,10000010,qqtllbvyyf
oprarzrevbcgten,20,2,9109,1308,1,0,1,22,Male,Town,PG,MassComm,1010,10010110,radicdrlao
qajrlskpwwukkrc,31,0,2058,1388,2,1,0,22,Male,Town,PG,MassComm,1010,10010110,radicdrlao
rvkmszjkvsrtxwk,10,1,666,1356,3,0,1,22,Male,Town,PG,MassComm,1010,10010110,radicdrlao
tfsqkhftjqvyfbb,30,5,57308,4677,1,0,1,19,Male,City,UG,Science,11011,11101011,rivbzweutm
vmkacbemqewoltl,51,3,3924,2126,2,1,0,19,Male,City,UG,Science,11011,11101011,rivbzweutm
wknqotscsgtaplf,41,0,5061,1869,3,1,0,19,Male,City,UG,Science,11011,11101011,rivbzweutm
ivbjqcrsnjlcmsi,41,2,1701,2166,1,1,0,28,Male,City,PG,MassComm,10000,10011011,rxoldcztkx
bdlyortlskemtpv,51,5,6191,2886,2,1,0,28,Male,City,PG,MassComm,10000,10011011,rxoldcztkx
odhtbfxuabryldq,20,0,938,1680,3,0,1,28,Male,City,PG,MassComm,10000,10011011,rxoldcztkx
fbdkktccpmtxspu,41,3,21742,197643,1,1,0,20,Female,City,UG,Science,11111,10011011,seteknzmzt
awfqnngphdzkbtt,0,0,24156,39012,2,0,1,20,Female,City,UG,Science,11111,10011011,seteknzmzt
gkljknyvzwtwekc,50,1,10434,63752,3,0,1,20,Female,City,UG,Science,11111,10011011,seteknzmzt
ikxpfwprdyatmkd,11,3,31895,50594,1,1,0,22,Female,City,PG,MassComm,11111,11010011,sjgsqxiwdm
ltmudvmvftapgfk,50,4,8815,18609,2,0,1,22,Female,City,PG,MassComm,11111,11010011,sjgsqxiwdm
jsczenwglxpvmse,20,1,10921,5758,3,0,1,22,Female,City,PG,MassComm,11111,11010011,sjgsqxiwdm
tpvfskmppnqogkp,20,1,9711,2873,1,0,1,23,Male,City,UG,Science,1111,10001111,slmwyruwyc
rckgmtvhephcgoh,41,4,2603,1827,2,1,0,23,Male,City,UG,Science,1111,10001111,slmwyruwyc
gxlopxrcfepfjfd,1,0,3859,1830,3,1,0,23,Male,City,UG,Science,1111,10001111,slmwyruwyc
wpwfudvsyhoxzbn,10,4,13484,18614,1,0,1,21,Male,Town,UG,Science,1000,11010011,sovpwfmetq
vmwazoepoqhhvbu,21,1,2980,6076,2,1,0,21,Male,Town,UG,Science,1000,11010011,sovpwfmetq
qhrcmvdbwsylwsv,31,5,3346,6030,3,1,0,21,Male,Town,UG,Science,1000,11010011,sovpwfmetq
dmdbqcidcnjwhfk,1,1,911,2009,1,1,0,22,Male,Town,UG,Science,11111,11111011,tymzdiwyse
dxftkyrggtjqvwh,20,0,1046,1106,2,0,1,22,Male,Town,UG,Science,11111,11111011,tymzdiwyse
ztqaicshsycgesr,31,3,1425,2903,3,1,0,22,Male,Town,UG,Science,11111,11111011,tymzdiwyse
tougvoncsqxiawe,31,0,27998,11697,1,1,0,21,Male,City,UG,Science,1110,10111001,uddhkahpsd
bdkrwyyxwmbaudp,41,1,9302,8187,2,1,0,21,Male,City,UG,Science,1110,10111001,uddhkahpsd
pkwmfgnuzgtohny,10,2,2835,35440,3,0,1,21,Male,City,UG,Science,1110,10111001,uddhkahpsd
fvxggkywqvlsnmg,50,0,2031,1672,1,0,1,21,Male,Town,UG,Science,11001,11101111,ueurccysmb
xodqugrselcbzqs,11,1,1060,1294,2,1,0,21,Male,Town,UG,Science,11001,11101111,ueurccysmb
uzeylmvdkndqjcf,30,2,1421,1187,3,0,1,21,Male,Town,UG,Science,11001,11101111,ueurccysmb
